bed,bath,cube,home,price,area,address
3 beds,1 bath,87.2m 2,End of Terrace House,525000,Dublin 7," 4 Glenbeigh Road , Blackhorse Ave, Dublin 7"
3 beds,4 baths,135 - 0m 2,Detached House,525000,Dublin 11," 62A Glasnevin Avenue, Glasnevin, Dublin 11"
2 beds,1 bath,99.6m 2,Terraced House,625000,Dublin 9," 14 Wellpark Avenue, Drumcondra, Dublin 9"
3 beds,2 baths,97m 2,Semi-Detached House,360000,K78 NN23," 11 Foxborough Heights,Lucan,Co. Dublin,K78 NN23"
1 bed,1 bath,40.6m 2,Apartment,245000,D16 W242," 28 Knocklyon Gate,Knocklyon,Dublin 16,D16 W242"
3 beds,1 bath,97.8m 2,Bungalow,325000,K67 N9R0," 32 Forest Court,Rivervalley,Swords,Co Dublin,K67 N9R0"
3 beds,1 bath,,Terraced House,249950,Dublin 15," 61 Whitestown Park, Coolmine, Dublin 15"
3 beds,2 baths,,Terraced House,325000,Dublin 11," 60 Ferndale Avenue, Glasnevin, Dublin 11"
1 bed,1 bath,,Apartment,320000,Dublin 14," 65 The Atrium, Roebuck Hill, Clonskeagh, Dublin 14"
2 beds,1 bath,77.72m 2,Duplex,235000,Dublin 15," 45 Delhurst Avenue, Ongar, Dublin 15"
2 beds,3 baths,77.42m 2,Terraced House,295000,Clonsilla," 3 Latchford Green, Hansfield Road, Castaheany, Dublin 15, Clonsilla"
3 beds,3 baths,170m 2,Semi-Detached House,1400000,Dublin 6," Cullenswood Lodge, 12 Richmond Avenue South, Dartry, Dublin 6"
4 beds,3 baths,125m 2,Semi-Detached House,435000,Dublin 15," 23 Limelawn Court, Clonsilla, Dublin 15"
3 beds,1 bath,90m 2,Semi-Detached House,575000,Dublin 3 DO3 R861," 6 Castle Court, Clontarf, Dublin 3 DO3 R861"
2 beds,1 bath,59m 2,Apartment,270000,Dublin 15 D15 EA30," 19 Beacon Building, Royal Canal Park, Ashtown, Dublin 15 D15 EA30"
3 beds,1 bath,104m 2,Terraced House,495000,Dublin 9 D09 W2N4," 12 Annadale Crescent, Drumcondra, Dublin 9 D09 W2N4"
6 beds,3 baths,284m 2,Terraced House,875000,Dublin 3 DO3 P932," 405 Clontarf Road, Clontarf, Dublin 3 DO3 P932"
4 beds,3 baths,118m 2,Semi-Detached House,750000,Dublin 3 DO3 T384," 12 Park Lawn, Clontarf, Dublin 3 DO3 T384"
6 beds,7 baths,562m 2,Detached House,1950000,Co Dublin K36 E335," 48 Abington, Malahide, Co Dublin K36 E335"
2 beds,2 baths,95m 2,Apartment,900000,Dublin 13  D13 N625," 16 Sutton Castle, Shielmartin Road, Sutton, Dublin 13  D13 N625"
2 beds,2 baths,81m 2,Apartment,265000,Dublin 15," 32 Whatley Hall, Archerswood, Clonee, Dublin 15"
5 beds,3 baths,160m 2,Semi-Detached House,695000,Dublin 16," 207 Woodfield, Knocklyon, Dublin 16"
2 beds,2 baths,65m 2,Cottage,585000,Dublin," 14 Albert Court, Dublin 2, Dublin"
3 beds,2 baths,107m 2,Semi-Detached House,625000,Dublin 16," 16 Balally Avenue, Dundrum, Dublin 16"
3 beds,3 baths,106.6m 2,End of Terrace House,385000,D15 YFX3," 123 Portersfield,Clonsilla,Dublin 15,D15 YFX3"
4 beds,2 baths,105m 2,Semi-Detached House,550000,Dublin 16," 196 Moyville, Rathfarnham, Dublin 16"
3 beds,4 baths,113m 2,Bungalow,565000,D18 E7R8," 9 Castle Farm,Shankill,Dublin 18,D18 E7R8"
4 beds,4 baths,160m 2,Semi-Detached House,875000,Co Dublin A94 YE14," Saint Briac, 11 Newtownpark Avenue, Blackrock, Co Dublin A94 YE14"
3 beds,2 baths,,Apartment,230000,Dublin 22," 5 Elmfield Court, Ninth Lock Road, Clondalkin, Dublin 22"
3 beds,2 baths,98m 2,Apartment,450000,Dublin 9," 302 Grace Park Manor, Drumcondra, Dublin 9"
2 beds,1 bath,73.9m 2,Apartment,370000,D14 K371," Apt.6 The Hazel Lodge,The Woodlands,Rathfarnham,Dublin 14,D14 K371"
3 beds,2 baths,,Semi-Detached House,640000,Dublin 6W," 43 Westfield Road, Harold's Cross, Dublin 6W"
3 beds,1 bath,,Bungalow,279000,Dublin 22," 17 Cherrywood Grove, Clondalkin,   Dublin 22"
2 beds,1 bath,49m 2,Apartment,365000,Dublin 6," 20 Courtney House, Appian Way, Ranelagh, Dublin 6"
2 beds,2 baths,76m 2,Apartment,510000,Dublin 6," 9 Maple Hall, Milltown, Dublin 6"
5 beds,3 baths,145.9m 2,Semi-Detached House,700000,D16 AX65," 25 Knocklyon Close,Knocklyon,Dublin 16,D16 AX65"
2 beds,1 bath,49m 2,Apartment,365000,Dublin 6," 20 Courtney House, Appian Way, Ranelagh, Dublin 6"
2 beds,2 baths,76m 2,Apartment,510000,Dublin 6," 9 Maple Hall, Milltown, Dublin 6"
5 beds,3 baths,145.9m 2,Semi-Detached House,700000,D16 AX65," 25 Knocklyon Close,Knocklyon,Dublin 16,D16 AX65"
3 beds,1 bath,70.5m 2,Bungalow,525000,D14 T8Y4," 6 St Patrick's Cottages,Rathfarnham,Dublin 14,D14 T8Y4"
4 beds,2 baths,110.8m 2,Detached House,620000,D16 Y680," 129 Moyville,Rathfarnham,Dublin 16,D16 Y680"
5 beds,2 baths,146m 2,Semi-Detached House,875000,Dublin 14," Aberdour, 70 Bird Avenue, Clonskeagh, Dublin 14"
3 beds,2 baths,83m 2,Terraced House,420000,D07 F9Y8," 28 Kings Inn Court,Phibsborough,Dublin 7,D07 F9Y8,D07 F9Y8"
3 beds,1 bath,,Semi-Detached House,335000,County Dublin," 9, Knockabawn, Rush, County Dublin"
3 beds,3 baths,104m 2,Apartment,575000,Dublin 1," 13 Dargle House, Custom House Square, IFSC, Dublin 1"
3 beds,2 baths,1130ft 2,Terraced House,POA,Dublin," 3 Bedroom House, Tandy's Lane, Lucan, Dublin"
1 bed,1 bath,607ft 2,Apartment,POA,Dublin," The Kestral at Bay View, Baldoyle, Dublin"
2 beds,2 baths,1169ft 2,Duplex,POA,Dublin," The Puffin at Bay View, Baldoyle, Dublin"
2 beds,1 bath,53m 2,Apartment,335000,Dublin," 129 Clifden Court, Ellis Quay, Dublin 7, Dublin"
4 beds,4 baths,,Detached House,725000,County Dublin," Valhalla, Margaretstown, Skerries, County Dublin"
3 beds,1 bath,82m 2,Terraced House,325000,D11R7R9," 82 Ballygall Parade,Finglas,Dublin 11,D11R7R9"
4 beds,1 bath,115m 2,Terraced House,675000,D09 K303," 9 Millmount Avenue,Drumcondra,Dublin 9,D09 K303"
4 beds,4 baths,225m 2,Detached House,695000,County Dublin," 28a Dublin Road, Skerries,   County Dublin"
4 beds,3 baths,184m 2,Terraced House,925000,D09 K281," 51 Hollybank Road,Drumcondra,Dublin 9,D09 K281"
3 beds,2 baths,82m 2,Terraced House,320000,D03 F5Y9," 17 Clonliffe Avenue,Drumcondra,Dublin 3,D03 F5Y9"
1 bed,1 bath,41m 2,Apartment,220000,D11 E274," 16 Lisin Glen,Ballyboggan Road,Glasnevin,Dublin 11,D11 E274"
2 beds,2 baths,70m 2,Terraced House,475000,Co. Dublin," 72 St. Patrick's Crescent, Monkstown, Co. Dublin"
3 beds,3 baths,105m 2,Detached House,399000,Co. Dublin," 1 Esker Meadow Grove, Lucan, Co. Dublin"
3 beds,1 bath,68.28m 2,Apartment,325000,Dublin 1," Apartment 41, 55, Mountjoy Square, Dublin 1"
2 beds,1 bath,92m 2,Apartment,500000,Dublin," 15 Butlers Court, Sir John Rogerson's Quay, Dublin 2, Dublin"
1 bed,1 bath,40.3m 2,Apartment,275000,Dublin 1," 195 Tuskar Rock, Custom House Harbour, IFSC, Dublin 1"
4 beds,3 baths,,Semi-Detached House,505000,Co. Dublin," 21 Boroimhe Poplars, Co.Dublin, Swords, Co. Dublin"
1 bed,1 bath,33m 2,Terraced House,195000,Dublin," 6 Maxwell Street, South City Centre, South City Centre, Dublin"
2 beds,2 baths,74m 2,Apartment,385000,Dublin 1," 100 Rathlin House, Custom House Square, IFSC, Dublin 1"
3 beds,2 baths,975ft 2,Detached House,445000,Dublin 11," 2a Oakwood Park, Glasnevin, Dublin 11"
5 beds,3 baths,184m 2,Semi-Detached House,1250000,Dublin 6," 177 Fortfield Road, Terenure, Dublin 6"
3 beds,2 baths,,Semi-Detached House,475000,Castleknock," 44 Luttrellstown Drive, Dublin 15, Castleknock"
3 beds,1 bath,89m 2,Terraced House,485000,Dublin 5," 38 Avondale Park, Raheny, Dublin 5"
1 bed,1 bath,42m 2,Apartment,320000,Dublin 4," 34 Belville, Donnybrook, Dublin 4"
1 bed,1 bath,43m 2,Apartment,295000,County Dublin," Owenstown Lodge, Owenstown Park, Mount Merrion, County Dublin"
4 beds,2 baths,150m 2,Detached House,795000,County Dublin," Liwara, Shanganagh Road, Killiney, County Dublin"
3 beds,2 baths,96.9m 2,Terraced House,550000,Dublin 8," 33 Sandford Ave, South Circular Road,   Dublin 8"
3 beds,1 bath,73m 2,Terraced House,269000,Dublin 22," 126 St Johns Crescent, Clondalkin, Dublin 22"
2 beds,1 bath,86m 2,Apartment,315000,Dublin 18," Apartment 35 The View, Carrickmines Manor, Carrickmines, Dublin 18"
8 beds,4 baths,550m 2,Detached House,5000000,County Dublin," Tara Hall, Balscadden Road, Howth,   County Dublin"
2 beds,2 baths,95.65m 2,Apartment,575000,Dublin 4," Apartment 11a Thornfield, Donnybrook, Dublin 4"
3 beds,1 bath,102m 2,Semi-Detached House,365000,Dublin 20," 23 Palmers Copse, Palmerstown, Dublin 20"
4 beds,2 baths,,Terraced House,1475000,Co. Dublin," Lahinch, 14 Railway Road, Dalkey, Co. Dublin"
1 bed,1 bath,51.9m 2,Apartment,200000,Dublin 24," 9, Village Square, Tallaght, Tallaght, Dublin 24"
3 beds,1 bath,85m 2,End of Terrace House,275000,Dublin 24," 16, Birchwood Heights, Tallaght, Dublin 24"
2 beds,1 bath,73m 2,Apartment,230000,Dublin 24," 170, Kiltipper Gate /Rise, Tallaght, Dublin 24"
1 bed,1 bath,42m 2,Apartment,220000,County Dublin," 19 The Quarry, Carrickhill Road Upper, Portmarnock, County Dublin"
2 beds,1 bath,61m 2,Duplex,330000,Dublin 7," 54 Rathdown Square, North Circular Road, Dublin 7"
3 beds,1 bath,,Terraced House,309950,Dublin 24," 174 Castle Park, Tallaght, Dublin 24"
3 beds,1 bath,,Terraced House,299000,Dublin 24," 53 Castle Park, D24, Tallaght, Dublin 24"
3 beds,1 bath,85m 2,Terraced House,290000,Dublin 22," 71 St Johns Crescent, Clondalkin, Dublin 22"
1 bed,1 bath,41m 2,Duplex,235000,Dublin 7," 1 Shandon Mills, Phibsboro, Dublin 7"
4 beds,2 baths,156m 2,Semi-Detached House,950000,Dublin 14," 129 Butterfield Avenue, Rathfarnham, Dublin 14"
4 beds,3 baths,186m 2,Semi-Detached House,775000,Dublin 16," 29 The Avenue, Woodpark, Ballinteer, Dublin 16"
5 beds,5 baths,425m 2,Detached House,2850000,Co. Dublin," Molyneaux, Church Road, Killiney, Co. Dublin"
4 beds,2 baths,125m 2,Semi-Detached House,1050000,Co. Dublin," 5 Dundela Avenue, Sandycove, Co. Dublin"
2 beds,1 bath,68m 2,Apartment,265000,D15 A3C3," 26 Linnetfields Square,Castaheany,Clonee,D15 A3C3"
4 beds,3 baths,170m 2,Semi-Detached House,1250000,D03 XY93," 92 Castle Avenue,Clontarf,Dublin 3,D03 XY93"
2 beds,2 baths,71m 2,Apartment,295000,Dublin 18," 78 Sandyford View, Blackglen Road, Sandyford, Dublin 18"
2 beds,1 bath,62m 2,Apartment,315000,Dublin 3," 45 Mechamp, Seafield Road East, Clontarf, Dublin 3"
3 beds,1 bath,,Semi-Detached House,449500,Dublin 12," 34 St.Anthonys Crescent , Walkinstown, Dublin 12"
2 beds,2 baths,71m 2,Apartment,295000,Dublin 18," 78 Sandyford View, Blackglen Road, Sandyford, Dublin 18"
2 beds,1 bath,62m 2,Apartment,315000,Dublin 3," 45 Mechamp, Seafield Road East, Clontarf, Dublin 3"
3 beds,1 bath,,Semi-Detached House,449500,Dublin 12," 34 St.Anthonys Crescent , Walkinstown, Dublin 12"
1 bed,,47.7m 2,Terraced House,275000,Dublin 8," 8 Harman Street, South City Centre - D8, Dublin 8"
4 beds,,,Semi-Detached House,615000,D15 DKK3," 52 Pecks Lane,Castleknock,Dublin 15,D15 DKK3"
4 beds,3 baths,136m 2,Detached House,575000,D15 AKV7," 10 Castlefield Park,Clonsilla,Dublin 15,D15 AKV7"
2 beds,1 bath,70m 2,End of Terrace House,495000,Co. Dublin," 31 Rosemount Court, Booterstown, Co. Dublin"
1 bed,1 bath,79.3m 2,Bungalow,350000,K34 N882," 36 Church Street,Skerries,Co Dublin,K34 N882"
3 beds,1 bath,114m 2,Terraced House,440000,Dublin 12," 9 Walkinstown Drive, Walkinstown, Dublin 12"
1 bed,1 bath,31m 2,End of Terrace House,295000,Dublin 8," 23 Meath Place, South City Centre - D8, Dublin 8"
2 beds,1 bath,68m 2,Terraced House,385000,Dublin 7," 34 Primrose Avenue, Phibsboro, Dublin 7"
2 beds,2 baths,85.84m 2,Apartment,255000,Dublin 15," 75 Annagh Court , Blanchardstown, Dublin 15"
2 beds,3 baths,114.6m 2,Apartment,975000,Dublin 4," 1 Raglan Court, 14 Raglan Road, Ballsbridge, Dublin 4"
5 beds,4 baths,278m 2,Terraced House,1750000,Dublin," 16 Leeson Street Upper, Dublin 4, Dublin"
6 beds,7 baths,428m 2,Terraced House,2750000,Dublin 4," 12 Morehampton Road, Donnybrook, Dublin 4"
3 beds,2 baths,,Semi-Detached House,550000,Dublin 15," 43 Luttrellstown Avenue, Castleknock,   Dublin 15"
3 beds,3 baths,117m 2,Semi-Detached House,500000,Dublin 15," 15 Riverwood Green, Castleknock,   Dublin 15"
4 beds,2 baths,,Semi-Detached House,550000,Dublin 15," 2 Roselawn Walk, Castleknock,   Dublin 15"
5 beds,3 baths,238m 2,Bungalow,1250000,Dublin 16," Carraig, Tibradden, Rathfarnham, Dublin 16"
6 beds,4 baths,233m 2,Detached House,1250000,Dublin 16," 5 Knocklyon Avenue, Knocklyon, Dublin 16"
5 beds,5 baths,354m 2,Detached House,850000,Co Dublin," Ashbrook Villa,Church Road,Rolestown,Swords,Co Dublin"
2 beds,2 baths,72.2m 2,Apartment,275000,K67 RF30," 13 Forest Hills,Forest Road,Swords,Co Dublin,K67 RF30"
4 beds,4 baths,216.5m 2,Detached House,695000,Dublin," 9 Barley Hill, Ballyboughal, Dublin"
3 beds,2 baths,85.7m 2,Semi-Detached House,365000,K67 DY20," 1 Thornleigh Lane,Applewood,Swords,Co. Dublin,K67 DY20"
5 beds,1 bath,162.5m 2,End of Terrace House,795000,Dublin 9," 111 BOTANIC ROAD, Glasnevin, Dublin 9"
4 beds,3 baths,165.6m 2,Detached House,700000,Dublin 18," 10 Rockville Avenue, Glenamuck Road, Carrickmines, Dublin 18"
4 beds,3 baths,248m 2,Terraced House,1595000,County Dublin," 65 Albert Road Lower, Glenageary, County Dublin"
3 beds,1 bath,95m 2,Terraced House,475000,County Dublin," 25 Birch Grove, Kill Avenue, Dun Laoghaire, County Dublin"
